Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
+790,World,2024-04-20 23:12,0,0,"704,753,890","7,010,681","675,619,811"
,USA,2024-04-20 23:12,,,"111,820,082","1,219,487","109,814,428"
N/A,India,2024-04-20 23:12,,,"45,035,393","533,570",N/A
,France,2024-04-20 21:12,,,"40,138,560","167,642","39,970,918"
,Germany,2024-04-20 23:12,,,"38,828,995","183,027","38,240,600"
,Brazil,2024-04-20 11:10,,,"38,743,918","711,380","36,249,161"
,S. Korea,2024-04-17 11:59,,,"34,571,873","35,934","34,535,939"
N/A,Japan,2024-04-20 11:10,,,"33,803,572","74,694",N/A
,Italy,2024-04-20 16:11,,,"26,723,249","196,487","26,361,218"
,UK,2024-04-20 22:12,,,"24,910,387","232,112","24,678,275"
,Russia,2024-04-20 22:12,,,"24,124,215","402,756","23,545,818"
N/A,Turkey,2024-04-20 11:10,,,"17,232,066","102,174",N/A
,Spain,2024-04-20 18:12,,,"13,914,811","121,760","13,762,417"
,Australia,2024-04-20 22:12,,,"11,853,144","24,414","11,820,014"
,Vietnam,2024-04-20 11:10,,,"11,625,195","43,206","10,640,971"
,Taiwan,2024-04-20 15:11,,,"10,241,523","19,005","10,222,518"
,Argentina,2024-04-20 11:10,,,"10,128,845","130,841","9,997,258"
,Netherlands,2024-04-20 21:12,,,"8,635,786","22,992","8,612,599"
,Mexico,2024-04-20 11:10,,,"7,702,809","334,958","6,899,865"
N/A,Iran,2024-04-20 11:10,,,"7,627,186","146,811",N/A
,Indonesia,2024-04-20 12:10,,,"6,829,221","162,063","6,647,104"
N/A,Poland,2024-04-20 21:12,,,"6,661,991","120,598",N/A
,Colombia,2024-04-20 11:10,,,"6,400,173","143,200","6,212,152"
N/A,Greece,2024-04-20 23:12,,,"6,101,379","37,869",N/A
,Austria,2024-04-20 11:10,,,"6,081,287","22,542","6,054,934"
,Portugal,2024-04-20 11:10,,,"5,643,062","28,126","5,614,809"
,Ukraine,2024-04-20 19:12,,,"5,557,995","112,418","5,445,577"
,Chile,2024-04-20 11:10,,,"5,384,853","64,497","5,252,450"
,Malaysia,2024-04-20 11:10,,,"5,278,406","37,348","5,233,268"
+350,Canada,2024-04-20 20:12,,,"4,946,090","59,034","4,881,312"
+50,Belgium,2024-04-20 16:11,,,"4,861,695","34,376","4,826,798"
,Israel,2024-04-20 11:10,,,"4,841,772","12,707","4,798,473"
,DPRK,,,,"4,772,813",74,"4,772,739"
,Thailand,2024-04-20 11:10,,,"4,770,149","34,586","4,692,636"
,Czechia,2024-04-20 17:11,,,"4,759,041","43,517","4,715,206"
,Peru,2024-04-20 11:10,,,"4,572,667","222,161","4,350,506"
,Switzerland,2024-04-20 18:12,,,"4,453,053","14,452","4,438,309"
,Philippines,2024-04-20 22:12,,,"4,140,383","66,864","4,067,381"
,South Africa,2024-04-20 17:11,,,"4,076,463","102,595","3,912,506"
+390,Romania,2024-04-20 11:10,,,"3,529,735","68,929","3,460,149"
,Denmark,2024-04-20 11:10,,,"3,183,756","8,814","3,174,942"
,Singapore,2024-04-20 17:11,,,"3,006,155","2,024","3,004,131"
,Hong Kong,2024-04-20 13:10,,,"2,937,609","14,924","2,916,005"
+20,Sweden,2024-04-20 21:12,,,"2,754,129","27,407","2,726,492"
,New Zealand,2024-04-18 00:00,,,"2,621,111","5,697","2,613,791"
,Serbia,2024-04-20 11:10,,,"2,615,054","18,057","2,596,608"
,Iraq,2024-04-20 21:12,,,"2,465,545","25,375","2,439,497"
,Hungary,2024-04-20 20:12,,,"2,230,232","49,048","2,152,155"
N/A,Bangladesh,2024-04-20 21:12,,,"2,049,377","29,493",N/A
,Slovakia,2024-04-20 11:10,,,"1,877,605","21,224","1,856,381"
N/A,Georgia,2024-04-20 11:10,,,"1,861,665","17,132",N/A
,Jordan,2024-04-20 11:10,,,"1,746,997","14,122","1,731,007"
,Ireland,2024-04-20 22:12,,,"1,734,582","9,491","1,724,921"
,Pakistan,2024-04-20 11:10,,,"1,581,936","30,664","1,538,689"
+14,Finland,2024-04-20 14:11,,,"1,516,117","11,958","1,503,989"
,Norway,2024-04-20 11:10,,,"1,509,732","6,638","1,503,094"
,Kazakhstan,2024-04-20 11:10,,,"1,411,831","13,848","1,383,020"
,Lithuania,2024-04-20 11:10,,,"1,397,806","9,897","1,387,478"
,Slovenia,2024-04-20 11:10,,,"1,356,546","7,100","1,349,424"
,Bulgaria,2024-04-20 11:10,,,"1,339,851","38,748","1,292,944"
,Croatia,2024-04-20 11:10,,,"1,309,728","18,687","1,258,432"
,Guatemala,2024-04-20 12:10,,,"1,291,293","20,289","1,269,891"
N/A,Morocco,2024-04-20 11:10,,,"1,278,992","16,303",N/A
,Lebanon,2024-04-20 11:10,,,"1,243,838","10,952","1,087,587"
N/A,Costa Rica,2024-04-19 14:08,,,"1,238,883","9,428",N/A
,Bolivia,2024-04-20 11:10,,,"1,212,131","22,407","1,177,145"
N/A,Tunisia,2024-04-20 11:10,,,"1,153,361","29,423",N/A
,Cuba,2024-04-20 11:10,,,"1,115,251","8,530","1,106,660"
,Ecuador,2024-04-20 11:10,,,"1,070,188","36,043","1,034,145"
N/A,UAE,2024-04-20 23:12,,,"1,067,030","2,349",N/A
,Panama,2024-04-20 11:10,,,"1,059,893","8,727","1,051,102"
,Uruguay,2024-04-20 11:10,,,"1,041,111","7,664","1,030,944"
,Mongolia,2024-04-20 11:10,,,"1,011,496","2,284","1,009,212"
,Nepal,2024-04-20 11:10,,,"1,003,450","12,031","991,322"
,Belarus,2024-04-20 11:10,,,"994,037","7,118","985,592"
,Latvia,2024-04-20 11:10,,,"982,505","6,715","971,406"
N/A,Saudi Arabia,2024-04-20 15:11,,,"841,469","9,646",N/A
N/A,Paraguay,2024-04-20 11:10,,,"837,602","20,155",N/A
,Azerbaijan,2024-04-20 11:10,,,"835,234","10,400","824,089"
,Bahrain,2024-04-20 11:10,,,"729,549","1,574","727,915"
,Cyprus,2024-04-20 16:11,,,"681,110","1,365","679,745"
,Dominican Republic,,,,"675,890","4,384","671,316"
,Sri Lanka,2024-04-16 23:57,,,"672,754","16,897","655,852"
N/A,Kuwait,2024-04-20 23:12,,,"667,158","2,570",N/A
,Myanmar,2024-04-20 11:10,,,"641,873","19,495","620,159"
N/A,Moldova,2024-04-20 11:10,,,"635,145","12,218",N/A
N/A,Estonia,2024-04-20 11:10,,,"628,070","3,001",N/A
,Palestine,2024-04-20 11:10,,,"621,008","5,404","615,445"
,Venezuela,2024-04-20 11:10,,,"552,695","5,856","546,537"
,Egypt,2024-04-20 11:10,,,"516,023","24,613","442,182"
,Qatar,2024-04-20 11:10,,,"514,524",690,"513,687"
,Libya,2024-04-20 11:10,,,"507,274","6,437","500,835"
,China,2024-04-20 11:10,,,"503,302","5,272","379,053"
,Ethiopia,2024-04-20 11:10,,,"501,157","7,574","488,171"
N/A,Réunion,,,,"494,595",921,N/A
N/A,Honduras,2024-04-20 11:10,,,"474,590","11,165",N/A
,Armenia,2024-04-20 11:10,,,"451,831","8,777","435,162"
,Bosnia and Herzegovina,,,,"403,615","16,388","379,084"
N/A,Oman,2024-04-20 11:10,,,"399,449","4,628",N/A
N/A,Luxembourg,2024-04-20 17:11,,,"391,232","1,232",N/A
,North Macedonia,2024-04-20 20:12,,,"350,567","9,976","337,068"
,Zambia,2024-04-20 11:10,,,"349,304","4,069","341,316"
,Kenya,2024-04-20 11:10,,,"344,130","5,689","337,309"
,Brunei,2024-04-20 11:10,,,"343,719",225,"243,601"
,Albania,2024-04-20 21:12,,,"334,863","3,605","330,233"
,Botswana,2024-04-20 11:10,,,"330,638","2,801","327,049"
,Montenegro,2024-04-20 11:10,,,"296,542","2,846","291,794"
,Algeria,2024-04-20 23:12,,,"272,010","6,881","183,061"
,Nigeria,2024-04-20 22:12,,,"267,188","3,155","259,953"
,Zimbabwe,2024-04-20 11:10,,,"266,359","5,740","258,888"
,Uzbekistan,2024-04-20 11:10,,,"253,662","1,637","241,486"
,Afghanistan,2024-04-20 11:10,,,"234,174","7,996","211,080"
,Mozambique,2024-04-20 11:10,,,"233,731","2,250","228,805"
N/A,Martinique,2024-04-20 11:10,,,"230,354","1,102",N/A
N/A,Laos,2024-04-20 11:10,,,"218,970",758,N/A
N/A,Iceland,2024-04-20 12:10,,,"209,906",229,N/A
,Kyrgyzstan,2024-04-20 11:10,,,"206,897","2,991","196,406"
N/A,Guadeloupe,2024-04-20 11:10,,,"203,235","1,021",N/A
,El Salvador,,,,"201,855","4,230","179,410"
,Trinidad and Tobago,,,,"191,496","4,390","187,078"
,Maldives,2024-04-20 11:10,,,"186,694",316,"163,687"
,Namibia,2024-04-20 11:10,,,"172,389","4,106","167,099"
,Uganda,2024-04-20 11:10,,,"172,149","3,632","100,431"
,Ghana,2024-04-20 11:10,,,"171,889","1,462","170,425"
N/A,Jamaica,2024-04-20 11:10,,,"156,869","3,756",N/A
,Cambodia,2024-04-20 11:10,,,"139,103","3,056","136,044"
,Rwanda,2024-04-20 11:10,,,"133,518","1,468","132,039"
,Cameroon,2024-04-20 11:10,,,"125,379","1,974","123,280"
,Malta,2024-04-20 11:10,,,"121,420",885,"120,149"
,Barbados,2024-04-20 11:10,,,"110,578",648,"108,647"
,Angola,2024-04-20 11:10,,,"107,327","1,937","103,419"
,Channel Islands,,,,"101,717",228,"101,321"
,DRC,2024-04-20 11:10,,,"99,338","1,468","84,489"
,French Guiana,,,,"98,041",420,"11,254"
N/A,Malawi,2024-04-20 11:10,,,"89,535","2,686",N/A
,Senegal,2024-04-20 11:10,,,"89,053","1,971","87,024"
,Ivory Coast,2024-04-13 23:45,,,"88,384",835,"87,497"
N/A,Suriname,2024-04-20 11:10,,,"82,588","1,408",N/A
N/A,New Caledonia,,,,"80,064",314,N/A
N/A,French Polynesia,,,,"79,254",650,N/A
,Eswatini,2024-04-20 11:10,,,"75,191","1,427","73,116"
,Guyana,2024-04-20 11:10,,,"74,137","1,300","72,013"
N/A,Belize,2024-04-20 11:10,,,"71,409",688,N/A
,Fiji,2024-04-20 11:10,,,"69,117",885,"67,226"
,Madagascar,2024-04-20 11:10,,,"68,486","1,426","66,862"
,Cabo Verde,,,,"64,477",417,"63,755"
,Sudan,2024-04-20 11:10,,,"63,993","5,046","58,947"
,Mauritania,2024-04-20 11:10,,,"63,848",997,"62,471"
,Bhutan,2024-04-20 11:10,,,"62,697",21,"61,564"
,Syria,2024-04-20 11:10,,,"57,743","3,165","54,578"
,Burundi,2024-04-20 11:10,,,"54,721",38,"53,569"
,Seychelles,2024-04-20 19:12,,,"51,220",172,"51,048"
,Gabon,2024-04-20 11:10,,,"49,051",307,"48,674"
N/A,Andorra,2024-04-20 11:10,,,"48,015",165,N/A
,Papua New Guinea,,,,"46,864",670,"46,168"
,Curaçao,,,,"45,986",295,"44,720"
,Aruba,2024-04-20 11:10,,,"44,224",292,"42,438"
N/A,Tanzania,2024-04-20 14:11,,,"43,223",846,N/A
,Mauritius,2024-04-20 11:10,,,"43,025","1,051","41,278"
N/A,Mayotte,2024-04-20 11:10,,,"42,027",188,N/A
,Togo,2024-04-20 11:10,,,"39,572",290,"39,281"
,Guinea,2024-04-20 11:10,,,"38,572",468,"37,757"
,Bahamas,2024-04-20 11:10,,,"38,084",844,"36,366"
N/A,Isle of Man,2024-04-16 10:55,,,"38,008",116,N/A
,Lesotho,2024-04-20 20:12,,,"36,138",723,"25,980"
,Haiti,2024-04-20 11:10,,,"34,667",860,"33,734"
N/A,Faeroe Islands,,,,"34,658",28,N/A
,Mali,2024-04-20 11:10,,,"33,164",743,"32,332"
,Cayman Islands,,,,"31,472",37,"8,553"
,Saint Lucia,,,,"30,215",410,"29,805"
,Benin,2024-04-20 11:10,,,"28,036",163,"27,847"
,Macao,2024-04-20 11:10,,,"27,673",123,"3,487"
,Somalia,2024-04-20 11:10,,,"27,334","1,361","13,182"
N/A,Micronesia,,,,"26,547",65,N/A
,San Marino,,,,"26,185",128,"26,011"
N/A,Solomon Islands,,,,"25,954",199,N/A
,Congo,2024-04-20 11:10,,,"25,375",386,"24,006"
,Timor-Leste,2024-04-20 11:10,,,"23,460",138,"23,102"
,Burkina Faso,,,,"22,114",400,"21,596"
N/A,Liechtenstein,2024-04-20 11:10,,,"21,574",94,N/A
N/A,Gibraltar,2024-04-20 11:10,,,"20,550",113,N/A
,Grenada,2024-04-20 11:10,,,"19,693",238,"19,358"
,Bermuda,2024-04-20 11:10,,,"18,860",165,"18,685"
,South Sudan,,,,"18,819",147,"18,115"
,Nicaragua,2024-04-20 11:10,,,"18,491",225,"4,225"
,Tajikistan,2024-04-20 11:10,,,"17,786",125,"17,264"
,Equatorial Guinea,,,,"17,229",183,"16,907"
N/A,Monaco,2024-04-20 11:10,,,"17,181",67,N/A
,Samoa,,,,"17,006",31,"1,605"
,Tonga,,,,"16,950",13,"15,638"
,Marshall Islands,,,,"16,138",17,"16,121"
,Dominica,2024-04-20 11:10,,,"16,038",74,"15,964"
,Djibouti,2024-04-20 11:10,,,"15,690",189,"15,427"
,CAR,2024-04-20 11:10,,,"15,440",113,"15,200"
,Gambia,2024-04-20 11:10,,,"12,626",372,"12,189"
N/A,Saint Martin,,,,"12,324",63,N/A
,Vanuatu,,,,"12,019",14,"11,976"
,Greenland,2024-04-20 19:12,,,"11,971",21,"2,761"
,Yemen,2024-04-20 11:10,,,"11,945","2,159","9,124"
,Caribbean Netherlands,,,,"11,682",38,"10,476"
,Sint Maarten,,,,"11,051",92,"10,905"
,Eritrea,2024-04-20 11:10,,,"10,189",103,"10,086"
,Niger,2024-04-20 11:10,,,"9,931",312,"8,890"
,St. Vincent Grenadines,,,,"9,674",124,"9,493"
,Guinea-Bissau,2024-04-20 11:10,,,"9,614",177,"8,929"
,Comoros,2024-04-20 11:10,,,"9,109",161,"8,939"
,Antigua and Barbuda,,,,"9,106",146,"8,954"
,Liberia,2024-04-20 11:10,,,"8,090",295,"7,783"
N/A,Sierra Leone,,,,"7,779",126,N/A
,Chad,2024-04-20 11:10,,,"7,701",194,"4,874"
N/A,British Virgin Islands,2024-04-16 19:56,,,"7,392",64,N/A
,Cook Islands,,,,"7,203",2,"7,150"
,Sao Tome and Principe,,,,"6,778",80,"6,685"
,Turks and Caicos,,,,"6,752",40,"6,709"
,Saint Kitts and Nevis,,,,"6,607",48,"6,559"
,Palau,,,,"6,290",10,"6,276"
N/A,St. Barth,,,,"5,507",6,N/A
,Nauru,,,,"5,393",1,"5,347"
,Kiribati,,,,"5,085",24,"2,703"
N/A,Anguilla,2024-04-20 11:10,,,"3,904",12,N/A
,Wallis and Futuna,,,,"3,550",8,438
,Saint Pierre Miquelon,,,,"3,452",2,"2,449"
N/A,Tuvalu,,,,"2,943",1,N/A
,Saint Helena,,,,"2,166",,2
,Falkland Islands,,,,"1,930",,"1,930"
,Montserrat,2024-04-20 11:10,,,"1,403",8,"1,376"
,Niue,,,,"1,059",,"1,056"
,Diamond Princess,,,,712,13,699
,Tokelau,,,,80,,
,Vatican City,,,,29,,29
,Western Sahara,,,,10,1,9
,MS Zaandam,,,,9,2,7
,,2024-04-20 23:12,,,,,
